"werr","wanzw","wm2","wanzr","wheiz","wrecht","wkges","wvertr","wfrist","bhhgr","dseitz","dstd","kjahr","xanzkind","xminalt","balt5","bsex","bfst","xbstaat","xbgeblan","xhatlevel","xeinw","xlfi","xpatch","xurb","xnuts1","xnuts2"
3,3,2,3,2,3,2,17,2,2,11,40,34,0,25,8,1,4,1,1,32,4,1,-3,1,3,32
3,3,2,3,2,3,2,17,2,2,-3,-3,34,0,25,7,2,4,1,1,21,4,3,-3,1,3,32
6,3,3,5,1,5,4,NA,-3,4,175,39,29,2,15,6,1,2,1,4,11,3,1,2,2,1,12
6,3,3,5,1,5,4,NA,-3,4,4,30,28,2,15,6,2,2,1,4,11,3,1,2,2,1,12
6,3,3,5,1,5,4,NA,-3,4,-3,-3,2,2,15,1,1,1,1,1,21,3,2,2,2,1,12
6,3,3,5,1,5,4,NA,-3,4,-3,-3,1,2,15,1,2,1,1,1,21,3,2,2,2,1,12
1,2,4,7,2,1,1,NA,-3,5,152,60,17,3,1,5,1,2,1,1,51,2,1,2,2,3,31
1,2,4,7,2,1,1,NA,-3,5,137,40,13,3,1,4,2,2,1,1,51,2,1,2,2,3,31
1,2,4,7,2,1,1,NA,-3,5,-3,-3,-3,3,1,0,1,1,1,1,999,2,3,2,2,3,31
1,2,4,7,2,1,1,NA,-3,5,-3,-3,-3,3,1,0,2,1,1,1,999,2,3,2,2,3,31
1,2,4,7,2,1,1,NA,-3,5,-3,-3,-3,3,1,0,2,1,1,1,999,2,3,2,2,3,31
5,1,3,3,5,1,1,NA,-3,1,-3,-3,40,-3,-3,12,1,2,1,1,52,1,3,-3,3,3,33
1,3,2,4,2,1,1,NA,-3,1,448,40,38,-3,-3,9,2,1,1,1,51,1,1,-3,2,1,12
5,2,3,4,2,1,1,NA,-3,2,-3,-3,63,0,25,13,2,2,1,1,21,2,3,-3,3,3,34
5,2,3,4,2,1,1,NA,-3,2,-3,-3,59,0,25,13,1,2,1,1,32,2,3,-3,3,3,34
8,2,2,4,2,6,1,NA,-3,3,-3,-3,57,1,24,12,2,2,1,1,22,2,3,-3,3,3,32
8,2,2,4,2,6,1,NA,-3,3,-3,-3,55,1,24,12,1,2,1,1,32,2,3,-3,3,3,32
8,2,2,4,2,6,1,NA,-3,3,353,38.5,31,1,24,7,1,1,1,1,21,2,1,-3,3,3,32
2,4,1,1,5,3,1,30,2,1,-3,-3,43,-3,-3,9,2,1,1,1,21,4,3,-3,1,1,13
6,1,2,3,2,6,1,NA,-3,1,-3,-3,59,-3,-3,12,2,3,1,1,21,2,3,-3,2,3,33
4,4,2,4,1,3,2,19,2,2,188,38.5,25,1,17,6,2,1,1,1,32,3,1,2,1,3,32
4,4,2,4,1,3,2,19,2,2,-3,-3,0,1,17,1,2,1,1,1,32,3,3,2,1,3,32
5,2,4,6,2,1,1,NA,-3,4,-3,-3,11,2,2,4,2,2,1,1,32,2,3,2,3,3,34
5,2,4,6,2,1,1,NA,-3,4,4,40,15,2,2,6,1,2,1,1,52,2,1,2,3,3,34
5,2,4,6,2,1,1,NA,-3,4,-3,-3,-3,2,2,0,1,1,1,1,999,2,3,2,3,3,34
5,2,4,6,2,1,1,NA,-3,4,-3,-3,-3,2,2,0,2,1,1,1,999,2,3,2,3,3,34
1,3,2,3,2,3,2,26,2,1,-3,-3,23,-3,-3,8,1,1,1,1,41,2,3,-3,2,3,31
7,2,2,4,2,1,1,NA,-3,4,208,38.5,28,2,18,7,1,2,1,1,32,2,1,2,2,3,33
7,2,2,4,2,1,1,NA,-3,4,130,30,5,2,18,6,2,2,1,1,51,2,1,2,2,3,33
7,2,2,4,2,1,1,NA,-3,4,41,31,1,2,18,1,2,1,1,1,32,2,1,2,2,3,33
7,2,2,4,2,1,1,NA,-3,4,1,12,3,2,18,1,1,1,1,1,21,2,1,2,2,3,33
7,4,1,2,1,3,3,1,1,1,-3,-3,28,-3,-3,7,2,4,1,1,60,4,3,-3,1,3,32
3,4,2,2,2,3,2,8,2,1,96,38.5,12,-3,-3,5,2,1,1,1,51,4,1,-3,1,1,13
4,1,3,4,2,1,1,NA,-3,1,209,40,7,-3,-3,5,2,1,1,1,52,2,1,-3,3,1,12
4,3,2,3,2,3,3,20,2,1,-3,-3,37,-3,-3,8,2,4,1,1,21,2,3,-3,3,3,33
5,2,2,3,5,3,2,4,2,2,29,25,25,1,12,6,2,4,1,1,32,2,1,2,3,2,21
5,2,2,3,5,3,2,4,2,2,-3,-3,-3,1,12,0,1,1,1,1,999,2,3,2,3,2,21
8,3,2,3,1,3,2,11,2,1,94,40,16,-3,-3,4,2,1,1,1,32,3,1,-3,3,2,21
4,1,3,5,1,1,1,NA,-3,2,-3,-3,62,0,25,13,1,2,1,1,32,2,3,-3,3,2,22
4,1,3,5,1,1,1,NA,-3,2,-3,-3,60,0,25,12,2,2,1,1,21,2,3,-3,3,2,22
5,1,4,4,2,1,1,NA,-3,2,-3,-3,48,0,25,10,1,2,1,1,21,1,3,-3,3,1,12
5,1,4,4,2,1,1,NA,-3,2,385,30,39,0,25,8,2,2,1,1,21,1,1,-3,3,1,12
4,4,2,3,5,6,1,NA,-3,2,198,36,31,0,25,7,2,2,1,1,32,4,1,-3,1,1,13
4,4,2,3,5,6,1,NA,-3,2,-3,-3,44,0,25,10,1,2,1,1,32,4,3,-3,1,1,13
5,2,2,4,2,1,1,NA,-3,3,161,25,28,1,15,7,2,1,1,1,32,2,1,2,3,3,32
5,2,2,4,2,1,1,NA,-3,3,319,38.5,27,1,15,6,1,1,1,1,32,2,1,2,3,3,32
5,2,2,4,2,1,1,NA,-3,3,5,40,1,1,15,1,2,1,1,1,21,2,1,2,3,3,32
5,2,4,6,2,6,1,NA,-3,6,241,21,24,4,0,5,2,2,1,1,21,1,1,2,3,3,31
5,2,4,6,2,6,1,NA,-3,6,38,40,14,4,0,4,1,2,1,1,32,1,1,2,3,3,31
5,2,4,6,2,6,1,NA,-3,6,-3,-3,-3,4,0,0,2,1,1,1,999,1,3,2,3,3,31
5,2,4,6,2,6,1,NA,-3,6,-3,-3,-3,4,0,0,1,1,1,1,999,1,3,2,3,3,31
5,2,4,6,2,6,1,NA,-3,6,-3,-3,-3,4,0,0,2,1,1,1,999,1,3,2,3,3,31
5,2,4,6,2,6,1,NA,-3,6,-3,-3,-3,4,0,0,2,1,1,1,999,1,3,2,3,3,31
4,5,3,4,2,2,2,NA,-3,4,237,20,46,2,19,11,1,1,2,2,32,4,1,2,1,1,13
4,5,3,4,2,2,2,NA,-3,4,318,40,27,2,19,9,2,1,1,1,52,4,1,2,1,1,13
4,5,3,4,2,2,2,NA,-3,4,0,999,4,2,19,2,1,1,1,1,32,4,1,2,1,1,13
4,5,3,4,2,2,2,NA,-3,4,-3,-3,1,2,19,1,2,1,1,1,32,4,3,2,1,1,13
4,1,3,4,2,1,1,NA,-3,1,-3,-3,60,-3,-3,12,2,3,1,3,21,1,3,-3,3,1,12
3,3,3,4,1,3,3,3,2,3,67,40,37,1,20,9,1,2,4,4,32,2,1,2,2,1,12
3,3,3,4,1,3,3,3,2,3,-3,-3,34,1,20,7,2,2,4,4,21,2,2,2,2,1,12
3,3,3,4,1,3,3,3,2,3,16,25,2,1,20,2,2,1,4,4,41,2,1,2,2,1,12
3,3,2,2,4,3,1,5,2,1,1,30,12,-3,-3,3,1,1,1,1,21,2,1,-3,3,2,22
3,1,3,5,2,1,1,NA,-3,1,62,20,36,-3,-3,9,1,1,1,1,52,2,1,-3,1,1,12
1,1,5,5,2,1,1,NA,-3,3,199,80,36,1,21,9,1,2,1,1,32,3,1,-3,3,2,21
1,1,5,5,2,1,1,NA,-3,3,357,40,37,1,21,9,2,2,1,1,32,3,1,-3,3,2,21
1,1,5,5,2,1,1,NA,-3,3,35,40,3,1,21,3,2,1,1,1,52,3,1,-3,3,2,21
8,5,3,4,1,3,3,3,2,2,43,40,1,0,25,4,2,1,1,1,52,4,1,-3,1,1,13
8,5,3,4,1,3,3,3,2,2,45,20,8,0,25,3,1,1,1,1,41,4,1,-3,1,1,13
2,3,2,2,5,3,1,52,2,1,-3,-3,69,-3,-3,14,2,3,1,1,21,3,3,-3,2,2,21
2,5,1,1,2,3,3,0,1,2,-3,-3,46,0,25,10,1,2,4,4,32,4,3,-3,1,3,32
2,5,1,1,2,3,3,0,1,2,-3,-3,46,0,25,10,2,2,4,4,21,4,3,-3,1,3,32
7,4,2,2,2,6,1,NA,-3,1,3,38.5,2,-3,-3,2,2,1,1,1,32,3,1,-3,2,3,34
4,4,2,4,1,3,3,19,2,2,225,38.5,41,0,25,9,1,2,1,1,32,2,1,-3,3,3,32
4,4,2,4,1,3,3,19,2,2,137,8,42,0,25,9,2,2,1,1,22,2,1,-3,3,3,32
8,1,3,3,2,1,1,NA,-3,1,-3,-3,57,-3,-3,14,1,3,2,2,52,2,3,-3,3,2,21
7,1,4,4,2,1,1,NA,-3,2,73,60,9,0,25,7,1,2,1,1,32,2,1,-3,3,2,21
7,1,4,4,2,1,1,NA,-3,2,269,38.5,23,0,25,6,2,2,1,1,41,2,1,-3,3,2,21
3,1,4,8,2,1,1,NA,-3,5,-3,-3,24,3,8,6,2,2,1,1,32,2,3,1,3,3,31
3,1,4,8,2,1,1,NA,-3,5,25,38.5,13,3,8,4,1,2,1,1,32,2,1,1,3,3,31
3,1,4,8,2,1,1,NA,-3,5,18,38.5,5,3,8,1,2,1,1,1,21,2,1,1,3,3,31
